Name,Address,Stars,Reviews,Phone,Hours,Website,GoogleURL
Cynthia Lara Clínic & Spa," C. 29 Sur 3927",4.3,6,,,,https://www.google.com/maps/place/Cynthia+Lara+Cl%C3%ADnic+%26+Spa/data=!4m7!3m6!1s0x85cfc7a67de477f5:0x3502d03e7666f76b!8m2!3d19.0386079!4d-98.2293087!16s%2Fg%2F11t2d4_cf2!19sChIJ9XfkfabHz4URa_dmdj7QAjU?authuser=0&hl=es-419&rclk=1
Pratt's Spa y Depilación Puebla," Plaza Comercial San José, Blvrd Atlixco 140",5.0,2,,,,https://www.google.com/maps/place/Pratt%27s+Spa+y+Depilaci%C3%B3n+Puebla/data=!4m7!3m6!1s0x85cfc724caaaa715:0x27d5cd772a9731f6!8m2!3d19.0386875!4d-98.241208!16s%2Fg%2F11xg7vhwln!19sChIJFaeqyiTHz4UR9jGXKnfN1Sc?authuser=0&hl=es-419&rclk=1
SkinCeuticals Advanced Clinical Spa by Dra. Maru Hernández," Plaza Kentro, Atlixcáyotl 3432-3er piso local 303",4.5,8,,,,https://www.google.com/maps/place/SkinCeuticals+Advanced+Clinical+Spa+by+Dra.+Maru+Hern%C3%A1ndez/data=!4m7!3m6!1s0x85cfc72ddadbb809:0x51a87c9d29fcf057!8m2!3d19.0158942!4d-98.254374!16s%2Fg%2F11ks6_pqcr!19sChIJCbjb2i3Hz4URV_D8KZ18qFE?authuser=0&hl=es-419&rclk=1
Revive Spa Center," Paseo Sinfonia #2 , primer nivel local 1 -10, Lomas de Angelópolis",5.0,10,,,,https://www.google.com/maps/place/Revive+Spa+Center/data=!4m7!3m6!1s0x85cfb94e4e13474d:0xef86b2ca7a0d0473!8m2!3d18.9922626!4d-98.2778049!16s%2Fg%2F11h53jrn66!19sChIJTUcTTk65z4URcwQNesqyhu8?authuser=0&hl=es-419&rclk=1
Revité Spa & Therapy," Blvrd 22 Sur 5722",4.4,74,,,,https://www.google.com/maps/place/Revit%C3%A9+Spa+%26+Therapy/data=!4m7!3m6!1s0x85cfc18376412061:0x47c059a483f8b5dc!8m2!3d19.0091295!4d-98.1969268!16s%2Fg%2F11nn3wrd2n!19sChIJYSBBdoPBz4UR3LX4g6RZwEc?authuser=0&hl=es-419&rclk=1
Velvet Spa," Av. 35 Pte. 2515-int 6",0.0,0,,,,https://www.google.com/maps/place/Velvet+Spa/data=!4m7!3m6!1s0x85cfc77993181edd:0x4dafc8125a494b25!8m2!3d19.0403557!4d-98.2252498!16s%2Fg%2F11xm664mdk!19sChIJ3R4Yk3nHz4URJUtJWhLIr00?authuser=0&hl=es-419&rclk=1
VITAL SOUL SPA,C. 11 Sur 2706,5.0,1,,,,https://www.google.com/maps/place/VITAL+SOUL+SPA/data=!4m7!3m6!1s0x85cfc7001321e94b:0x20f4be72848795ba!8m2!3d19.037723!4d-98.2120832!16s%2Fg%2F11y66hd15x!19sChIJS-khEwDHz4URupWHhHK-9CA?authuser=0&hl=es-419&rclk=1
ZÄNÄ ¡más que un SPA!," C. Tecamachalco 65",4.6,72,,,,https://www.google.com/maps/place/Z%C3%84N%C3%84+%C2%A1m%C3%A1s+que+un+SPA!/data=!4m7!3m6!1s0x85cfc6d6de7bffff:0xd0d4f2b376b53127!8m2!3d19.0564476!4d-98.2291805!16s%2Fg%2F11rznnfvsk!19sChIJ__973tbGz4URJzG1drPy1NA?authuser=0&hl=es-419&rclk=1
Bebella Spa El Mirador," Calle 39 Ote 1612",5.0,2,,,,https://www.google.com/maps/place/Bebella+Spa+El+Mirador/data=!4m7!3m6!1s0x85cfc1abd498bf75:0x9d10753fd9b2e418!8m2!3d19.0234559!4d-98.1962966!16s%2Fg%2F11rvhxmccn!19sChIJdb-Y1KvBz4URGOSy2T91EJ0?authuser=0&hl=es-419&rclk=1
Borbella medical spa," C. 7 Sur 3712-local 2",5.0,13,,,,https://www.google.com/maps/place/Borbella+medical+spa/data=!4m7!3m6!1s0x85cfc19d1a24e949:0xcc3598026842e10c!8m2!3d19.032382!4d-98.2115745!16s%2Fg%2F11j7h68cz7!19sChIJSekkGp3Bz4URDOFCaAKYNcw?authuser=0&hl=es-419&rclk=1
MEADE SPA BOUTIQUE," Plaza Pabellon, Blvd. Municipio Libre #1972-Int. 17",0.0,0,,,,https://www.google.com/maps/place/MEADE+SPA+BOUTIQUE/data=!4m7!3m6!1s0x85cfc78a9c6d7097:0x46cfa6065b56fdfc!8m2!3d19.0118926!4d-98.2452717!16s%2Fg%2F11gxrnw1yn!19sChIJl3BtnIrHz4UR_P1WWwamz0Y?authuser=0&hl=es-419&rclk=1
Cléa Spa," C. 2 Sur 5319",0.0,0,,,,https://www.google.com/maps/place/Cl%C3%A9a+Spa/data=!4m7!3m6!1s0x85cfc179fa650405:0x24f447cd822d3dec!8m2!3d19.0221894!4d-98.2100003!16s%2Fg%2F11ydd2sp8b!19sChIJBQRl-nnBz4UR7D0tgs1H9CQ?authuser=0&hl=es-419&rclk=1
umm cabina . spa," C. 19 Sur 4523",4.3,6,,,,https://www.google.com/maps/place/umm+cabina+.+spa/data=!4m7!3m6!1s0x85cfc734beb180d9:0x673a2e082a8cabfc!8m2!3d19.0333035!4d-98.2223694!16s%2Fg%2F1ptzkjdf4!19sChIJ2YCxvjTHz4UR_KuMKgguOmc?authuser=0&hl=es-419&rclk=1
Nerfertari Derma SPA," Osa Mayor 2902-Local 9",0.0,0,,,,https://www.google.com/maps/place/Nerfertari+Derma+SPA/data=!4m7!3m6!1s0x85cfc7005f992d15:0x5451323a27d8fd6a!8m2!3d19.033654!4d-98.235752!16s%2Fg%2F11wc96rw33!19sChIJFS2ZXwDHz4URav3YJzoyUVQ?authuser=0&hl=es-419&rclk=1
Spa Clinic L’essenza," Privada A Ote de la 16 de Septiembre 3508",5.0,3,,,,https://www.google.com/maps/place/Spa+Clinic+L%E2%80%99essenza/data=!4m7!3m6!1s0x85cfc10715eebe35:0x73d55487dec0372!8m2!3d19.0303953!4d-98.2057275!16s%2Fg%2F11s42ynprh!19sChIJNb7uFQfBz4URcgPsfUhVPQc?authuser=0&hl=es-419&rclk=1
mum spa," Plaza Mayari # 1601 Local 4 Av, Cam. Real a San Andrés",5.0,2,,,,https://www.google.com/maps/place/mum+spa/data=!4m7!3m6!1s0x85cfc70973de9ba9:0xb478e8323c6c847d!8m2!3d19.0338327!4d-98.2618807!16s%2Fg%2F11qg440wk5!19sChIJqZvecwnHz4URfYRsPDLoeLQ?authuser=0&hl=es-419&rclk=1
Vanity spa," C. 5 Sur 5118",0.0,0,,,,https://www.google.com/maps/place/Vanity+spa/data=!4m7!3m6!1s0x85cfc1f63353085f:0x352f37ed4f5ce19!8m2!3d19.0229008!4d-98.2150258!16s%2Fg%2F11stp2r588!19sChIJXwhTM_bBz4URGc711H7zUgM?authuser=0&hl=es-419&rclk=1
